,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,tenure,MonthlyCharges,TotalCharges,Age,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
,2,79.6,195.05,80,31.91,30,0,0,63.82,258.87,3
,19,90.6,1660,68,28.12,25,0,0,534.28,2194.28,1
,1,20.2,20.2,48,43.52,0,0,0,43.52,63.72,2
,66,106.05,6981.35,30,23.51,52,0,0,1551.66,8533.01,2
,36,99.15,3615.6,54,13.35,7,0,30,480.6,4126.2,1
,39,55.9,2184.35,50,0,13,0,0,0,2184.35,1
,21,82.35,1852.85,25,12.76,48,0,0,267.96,2120.81,1
,2,40.4,77.15,34,0,8,0,0,0,77.15,3
,4,75.35,338.1,42,29.11,9,0,0,116.44,454.54,1
,35,85.15,3030.6,37,25.51,16,0,0,892.85,3923.45,1
,33,93.8,3124.5,48,20.02,27,0,0,660.66,3785.16,3
,45,20.4,930.45,49,25.4,0,0,0,1143,2073.45,3
,7,94.7,673.1,78,9.7,17,0,0,67.9,741,1
,6,30.5,208.7,47,0,14,0,0,0,208.7,1
,3,77,237.75,74,48.34,20,0,0,145.02,382.77,1
,11,20.1,221.35,62,33.06,0,0,0,363.66,585.01,2
,1,75.3,75.3,53,26.06,3,0,0,26.06,101.36,1
,40,99.2,4062.2,74,19.76,22,0,0,790.4,4852.6,3
,47,85.5,4042.3,65,36.58,20,0,50,1719.26,5811.56,3
,7,20.05,164.85,62,48.22,0,0,0,337.54,502.39,2
,1,70.4,70.4,40,29.63,15,0,0,29.63,100.03,1
,7,49.75,331.3,24,36.14,85,0,0,252.98,584.28,1
,15,75.3,1147.45,70,7.99,27,0,0,119.85,1267.3,3
,11,94,1078.9,64,25.67,18,0,0,282.37,1361.27,1
,67,118.35,7804.15,53,22.66,27,0,0,1518.22,9322.37,1
,8,30.45,226.45,55,0,4,0,0,0,226.45,1
,44,96.1,4364.1,19,11.24,59,0,0,494.56,4858.66,2
,24,104.25,2433.9,70,49.76,11,0,0,1194.24,3628.14,1
,15,80.2,1217.25,75,12.08,5,0,0,181.2,1398.45,1
,17,104.2,1743.5,38,4.91,15,0,0,83.47,1826.97,1
,1,69.65,69.65,70,7.23,2,0,0,7.23,76.88,2
,9,80.8,713.1,39,20.34,7,0,0,183.06,896.16,3
,7,80.3,526.7,21,39.21,42,0,10,274.47,811.17,2
,36,84.1,3021.6,71,31.65,15,0,0,1139.4,4161,1
,3,69.35,191.35,48,35.64,6,0,0,106.92,298.27,2
,34,79.6,2718.3,79,25.84,15,0,0,878.56,3596.86,1
,1,36.45,36.45,79,0,26,0,0,0,36.45,3
,22,89.4,2001.5,39,39.58,12,0,0,870.76,2872.26,2
,47,80.35,3825.85,73,38.31,7,0,90,1800.57,5716.42,1
,24,40.65,933.3,74,0,29,0,0,0,933.3,1
,53,60.45,3184.25,61,0,13,0,0,0,3184.25,2
,8,84.9,764.95,58,29,30,0,0,232,996.95,1
,2,73.55,145.4,27,8.5,59,0,0,17,162.4,1
,8,20.15,156.25,24,11.35,0,0,0,90.8,247.05,3
,48,34.7,1604.5,31,0,22,0,0,0,1604.5,2
,43,107.55,4533.9,80,13.84,18,0,140,595.12,5269.02,2
,16,98.75,1587.55,69,15.16,7,0,0,242.56,1830.11,2
,8,101.15,842.9,47,16.88,6,0,0,135.04,977.94,2
,20,88.7,1761.45,20,5.54,59,0,0,110.8,1872.25,1
,2,79.75,164.5,44,8.32,16,0,0,16.64,181.14,3
,27,94.55,2724.6,48,11.09,6,0,0,299.43,3024.03,2
,5,69.05,318.5,71,30.05,11,0,0,150.25,468.75,3
,52,96.25,4990.25,63,46.59,26,0,120,2422.68,7532.93,3
,37,101.1,3744.05,73,38.06,19,0,0,1408.22,5152.27,1
,69,104.7,7220.35,52,20.44,3,0,0,1410.36,8630.71,3
,40,55.25,2139.2,20,8.08,76,0,0,323.2,2462.4,1
,6,90.1,521.3,53,1.15,3,0,0,6.9,528.2,1
,11,53.75,608,60,15.03,13,0,0,165.33,773.33,1
,6,89.3,577.6,43,2.6,22,0,0,15.6,593.2,1
,3,95.2,292.85,21,23.26,42,0,20,69.78,382.63,1
,5,45.7,198,79,0,15,0,0,0,198,3
,8,74.5,609.9,51,47.91,23,0,0,383.28,993.18,2
,1,79.65,79.65,57,22.48,5,0,0,22.48,102.13,3
,28,101.3,2812.2,67,16.43,20,0,0,460.04,3272.24,3
,1,80.05,80.05,53,39.79,7,0,0,39.79,119.84,3
,29,89.2,2698.35,25,4,48,0,0,116,2814.35,1
,19,83.65,1465.75,59,14.09,25,0,130,267.71,1863.46,2
,6,19.5,146.3,62,31.7,0,0,0,190.2,336.5,3
,1,51.25,51.25,58,6.44,4,0,0,6.44,57.69,1
,1,45.6,45.6,31,11.73,24,0,0,11.73,57.33,1
,6,49.65,267.35,49,48.89,22,0,0,293.34,560.69,2
,15,20,288.05,59,31.14,0,0,0,467.1,755.15,1
,25,34,853,19,0,82,0,0,0,853,1
,10,92.5,934.1,72,11.12,30,0,100,111.2,1145.3,1
,13,88.35,1222.8,52,17.83,10,0,0,231.79,1454.59,2
,49,107.95,5293.2,38,6.45,10,0,0,316.05,5609.25,2
,1,74.45,74.45,75,39.61,16,0,0,39.61,114.06,3
,37,64.75,2345.2,26,3.27,71,0,0,120.99,2466.19,1
,26,89.8,2335.3,49,6.24,25,0,0,162.24,2497.54,1
,12,95.5,1115.15,61,34.81,16,0,0,417.72,1532.87,2
,10,29.65,291.4,76,0,20,0,110,0,401.4,2
,5,84.5,453.75,64,36.88,8,0,0,184.4,638.15,1
,18,90.7,1597.25,26,28.59,26,0,0,514.62,2111.87,1
,3,70.3,235.5,69,5.54,16,0,0,16.62,252.12,3
,54,103.95,5639.05,20,43.47,82,0,0,2347.38,7986.43,3
,10,74.75,799.65,39,5.63,26,0,0,56.3,855.95,1
,1,50.8,50.8,20,22.82,27,0,0,22.82,73.62,2
,2,80.25,144.55,42,39.03,30,0,10,78.06,232.61,1
,32,78.9,2447.95,62,22.57,11,0,0,722.24,3170.19,3
,36,84.75,3050.15,22,43.97,42,0,0,1582.92,4633.07,3
,53,85.45,4517.25,38,16.43,29,0,0,870.79,5388.04,1
,1,19.9,19.9,46,45.77,0,0,0,45.77,65.67,1
,12,99.45,1200.15,76,21.89,26,0,0,262.68,1462.83,3
,1,70.6,70.6,48,27.12,23,0,0,27.12,97.72,3
,5,81,389.6,61,20.2,23,0,10,101,500.6,2
,6,84.85,523.5,61,39.32,12,0,0,235.92,759.42,2
,26,89.15,2277.65,68,9.09,12,0,0,236.34,2513.99,1
,1,24.8,24.8,77,0,19,0,0,0,24.8,1
,64,105.65,6903.1,30,24.23,73,0,0,1550.72,8453.82,1
,13,80.85,1008.7,40,12.54,20,0,0,163.02,1171.72,1
,9,89.45,853.1,62,26.51,18,0,0,238.59,1091.69,2
,10,72.15,794.25,49,33.75,11,0,80,337.5,1211.75,2
,2,76.4,160.8,39,41.64,25,0,0,83.28,244.08,2
,20,61.6,1174.35,67,27.11,27,0,0,542.2,1716.55,1
,9,79.9,741.7,35,19.18,27,0,0,172.62,914.32,2
,32,96.15,3019.25,67,25.45,18,0,0,814.4,3833.65,2
,70,65.3,4759.75,57,42.67,24,0,0,2986.9,7746.65,1
,1,19.65,19.65,43,17.25,0,0,0,17.25,36.9,2
,1,84.65,84.65,25,22.3,51,0,40,22.3,146.95,1
,1,69.55,69.55,76,12.46,22,0,0,12.46,82.01,2
,13,31.05,347.25,46,0,16,0,0,0,347.25,2
,7,51,354.05,56,34.49,22,0,0,241.43,595.48,1
,1,44.35,44.35,27,40.42,59,0,0,40.42,84.77,2
,7,79.7,586.05,31,28.92,16,0,0,202.44,788.49,2
,54,55,3092.65,43,6.7,16,0,0,361.8,3454.45,1
,5,84.85,415.55,66,27.35,27,0,20,136.75,572.3,1
,1,73.65,73.65,80,39.88,19,0,0,39.88,113.53,3
,33,73.9,2405.05,33,33.32,4,0,0,1099.56,3504.61,1
,55,77.75,4458.15,38,19.41,4,0,0,1067.55,5525.7,2
,6,84.35,474.9,78,28.71,17,0,0,172.26,647.16,3
,8,84.95,668.4,35,32.31,6,0,0,258.48,926.88,1
,11,73.85,926.25,40,44.94,25,0,0,494.34,1420.59,2
,49,51.8,2541.25,57,0,5,0,50,0,2591.25,2
,1,46,46,69,7.74,19,0,0,7.74,53.74,1
,15,79.4,1156.1,78,17.23,12,0,0,258.45,1414.55,1
,16,71.8,1167.8,78,45.9,5,0,0,734.4,1902.2,1
,44,88.4,3912.9,68,24.62,14,0,0,1083.28,4996.18,3
,5,46,221.7,56,23.89,14,0,0,119.45,341.15,1
,4,51.75,201.1,39,9.98,13,0,0,39.92,241.02,1
,30,94.4,2838.7,52,28.85,6,0,80,865.5,3784.2,1
,1,70.15,70.15,34,2.24,6,0,0,2.24,72.39,3
,9,34.7,296.1,43,0,9,0,0,0,296.1,1
,1,81.1,81.1,53,22.86,24,0,0,22.86,103.96,3
,1,20.55,20.55,25,37.92,0,0,0,37.92,58.47,3
,61,106.6,6428.4,39,41.23,28,0,0,2515.03,8943.43,3
,59,106.75,6252.9,47,49.31,21,0,40,2909.29,9202.19,1
,3,89.45,240.45,56,16.15,13,0,0,48.45,288.9,3
,3,97.9,315.3,40,30.18,7,0,0,90.54,405.84,3
,1,55.7,55.7,62,48.22,22,0,0,48.22,103.92,1
,13,79.8,973.45,61,30.88,3,0,0,401.44,1374.89,2
,18,39.05,669.85,46,0,30,0,0,0,669.85,3
,3,83.9,267.4,75,7.38,11,0,0,22.14,289.54,1
,1,69.85,69.85,70,43.45,30,0,40,43.45,153.3,1
,1,53.55,53.55,61,1.59,14,0,0,1.59,55.14,1
,70,93.9,6579.05,38,5.48,14,0,0,383.6,6962.65,1
,68,113.15,7856,48,23.67,22,0,0,1609.56,9465.56,1
,26,84.95,2169.75,65,18.26,3,0,0,474.76,2644.51,3
,11,80.5,896.9,42,11.5,27,0,0,126.5,1023.4,1
,1,19.3,19.3,61,49.2,0,0,0,49.2,68.5,3
,1,49.65,49.65,60,4.18,8,0,40,4.18,93.83,3
,46,54.35,2460.15,52,45.2,17,0,0,2079.2,4539.35,3
,4,88.45,370.65,32,49.14,15,0,0,196.56,567.21,3
,22,90.5,1910.6,71,46.11,27,0,0,1014.42,2925.02,1
,9,94.85,890.6,54,17.47,6,0,0,157.23,1047.83,2
,7,69.95,529.5,49,35.42,3,0,0,247.94,777.44,2
,1,48.6,48.6,22,6.54,52,0,0,6.54,55.14,1
,40,55.8,2109.35,72,0,6,0,80,0,2189.35,1
,29,80.15,2265.25,29,26.03,47,0,0,754.87,3020.12,3
,3,75.5,220.6,30,47.51,85,0,0,142.53,363.13,2
,1,20.2,20.2,28,10.98,0,0,0,10.98,31.18,1
,3,74.75,229.5,39,35.18,13,0,0,105.54,335.04,1
,23,104.05,2470.1,49,16.28,2,0,0,374.44,2844.54,1
,13,96.65,1244.5,28,17.02,41,0,0,221.26,1465.76,1
,1,20.05,20.05,69,19.87,0,0,0,19.87,39.92,1
,39,103.45,3994.45,52,34.74,28,0,0,1354.86,5349.31,2
,1,19.9,19.9,33,7.49,0,0,0,7.49,27.39,3
,14,46.35,667.7,53,0,12,0,0,0,667.7,3
,1,19.95,19.95,62,17.61,0,0,0,17.61,37.56,2
,1,79.6,79.6,40,19.32,22,0,0,19.32,98.92,3
,1,75.9,75.9,23,44.56,27,0,0,44.56,120.46,3
,1,76.2,76.2,53,35.15,14,0,50,35.15,161.35,3
,1,19.25,19.25,35,12.81,0,0,0,12.81,32.06,3
,42,84.3,3588.4,58,10.73,22,0,0,450.66,4039.06,3
,7,79,522.95,63,26.09,2,0,0,182.63,705.58,2
,1,70.25,70.25,27,23,59,0,0,23,93.25,1
,10,84.6,865.55,70,16.85,30,0,0,168.5,1034.05,3
,17,24.1,409.9,31,18.26,0,0,0,310.42,720.32,1
,1,60,60,64,43.48,16,0,10,43.48,113.48,1
,8,86.55,649.65,47,24.76,2,0,0,198.08,847.73,3
,1,20.85,20.85,80,22.86,0,0,0,22.86,43.71,3
,39,50.75,2011.4,35,0,4,0,0,0,2011.4,3
,58,105.5,6205.5,73,16.94,19,0,0,982.52,7188.02,1
,6,85.15,503.6,73,29.41,30,0,0,176.46,680.06,2
,22,54.2,1152.7,48,27.24,21,0,0,599.28,1751.98,2
,70,109.5,7674.55,21,41.88,59,0,150,2931.6,10756.15,2
,21,104.4,2157.95,45,42.65,3,0,0,895.65,3053.6,2
,71,105.1,7548.1,79,44.66,8,0,0,3170.86,10718.96,1
,1,75.7,75.7,39,9.05,21,0,0,9.05,84.75,3
,20,90.8,1951,79,4.77,17,0,0,95.4,2046.4,1
,4,97.95,384.5,21,9.98,51,0,0,39.92,424.42,3
,32,108.15,3432.9,22,27.69,73,0,0,886.08,4318.98,1
,6,80.5,463.05,45,6.4,26,0,10,38.4,511.45,2
,27,104.3,2867.75,73,10.19,27,0,0,275.13,3142.88,1
,1,71.35,71.35,23,35.28,51,0,0,35.28,106.63,3
,13,89.4,1132.35,42,8.59,15,0,0,111.67,1244.02,1
,1,20.6,20.6,56,47.26,0,0,0,47.26,67.86,1
,19,99.95,1931.75,54,2.19,18,0,0,41.61,1973.36,1
,10,81,818.05,46,49.5,19,0,0,495,1313.05,2
,13,70.15,916.75,77,37.86,19,0,90,492.18,1498.93,2
,1,70.15,70.15,53,42.09,9,0,0,42.09,112.24,1
,68,96.55,6581.9,68,1.98,19,0,0,134.64,6716.54,1
,39,95.55,3692.85,29,4.48,71,0,0,174.72,3867.57,1
,1,69.65,69.65,70,31.13,5,0,0,31.13,100.78,3
,1,89.3,89.3,68,30.23,30,0,0,30.23,119.53,1
,36,87.55,3078.1,42,27.72,24,0,0,997.92,4076.02,1
,15,96.3,1426.75,76,19.11,8,0,150,286.65,1863.4,1
,5,85.2,474.8,26,34.49,46,0,0,172.45,647.25,3
,13,35.1,446.1,28,0,53,0,0,0,446.1,3
,5,81.3,416.3,33,25.11,26,0,0,125.55,541.85,2
,2,19.6,35.85,31,29.81,0,0,0,59.62,95.47,3
,17,85.45,1451.6,29,47.76,26,0,0,811.92,2263.52,3
,1,71,71,57,18.84,19,0,0,18.84,89.84,2
,9,85.05,746.5,68,12.18,6,0,30,109.62,886.12,3
,1,44.4,44.4,29,7.14,52,0,0,7.14,51.54,3
,1,70.3,70.3,80,39.1,27,0,0,39.1,109.4,1
,1,79.35,79.35,30,23.63,52,0,0,23.63,102.98,2
,9,90.8,809.75,53,1.34,9,0,0,12.06,821.81,3
,20,70.45,1470.95,47,16.49,8,0,0,329.8,1800.75,1
,70,45.25,3264.45,79,0,20,0,0,0,3264.45,2
,3,75.8,246.3,63,5.2,23,0,10,15.6,271.9,1
,20,71.3,1389.2,78,5.71,22,0,0,114.2,1503.4,2
,21,69.1,1474.75,76,19.74,18,0,0,414.54,1889.29,2
,17,88.25,1460.65,31,17.91,9,0,0,304.47,1765.12,2
,2,70,153.05,31,37.76,10,0,0,75.52,228.57,3
,21,97.35,2119.5,63,9.06,10,0,0,190.26,2309.76,3
,5,25.9,135,34,40.05,0,0,0,200.25,335.25,1
,24,55.65,1400.55,43,8.99,5,0,60,215.76,1676.31,1
,1,69.65,69.65,52,49.24,8,0,0,49.24,118.89,2
,10,100.6,1060.2,41,45.21,3,0,0,452.1,1512.3,1
,1,86,86,65,28.82,22,0,0,28.82,114.82,1
,53,106.95,5785.5,44,29.8,4,0,0,1579.4,7364.9,1
,3,29.6,79.45,46,0,3,0,0,0,79.45,1
,46,59.9,2816.65,80,0,15,0,150,0,2966.65,3
,49,95.6,4783.5,53,49.63,9,0,0,2431.87,7215.37,1
,11,41.6,470.6,39,0,5,0,0,0,470.6,2
,45,100.85,4740,34,14.12,3,0,0,635.4,5375.4,1
,37,40.2,1448.8,52,0,23,0,0,0,1448.8,2
,49,84.5,4254.85,55,39.6,20,0,0,1940.4,6195.25,3
,14,78.95,1101.85,65,16.36,6,0,0,229.04,1330.89,1
,1,20.2,20.2,45,11.25,0,0,0,11.25,31.45,2
,47,85.2,3969.35,78,16.83,12,0,0,791.01,4760.36,1
,13,98,1237.85,78,27.82,4,0,0,361.66,1599.51,1
,5,94.45,498.1,43,39.36,24,0,0,196.8,694.9,1
,3,105,294.45,68,35.43,18,0,0,106.29,400.74,3
,26,93.85,2381.55,73,9.28,26,0,0,241.28,2622.83,2
,8,84,613.4,75,46.05,22,0,0,368.4,981.8,3
,9,48.75,442.2,51,0,10,0,10,0,452.2,2
,1,84.85,84.85,25,36.07,41,0,0,36.07,120.92,1
,12,56.65,654.85,42,7.97,10,0,0,95.64,750.49,1
,42,73.9,3160.55,22,5.75,53,0,0,241.5,3402.05,2
,33,24.5,740.3,21,35.31,0,35.05,0,1165.23,1870.48,3
,31,89.9,2806.9,54,6.33,11,41.18,0,196.23,2961.95,2
,18,78.55,1422.65,66,4.98,18,0,0,89.64,1512.29,3
,42,99.45,4138.05,50,34.65,9,30.46,140,1455.3,5702.89,2
,4,25.2,102.5,73,0,19,0,0,0,102.5,3
,12,74.05,872.65,57,42.58,22,48.61,0,510.96,1335,3
,15,55,757.1,73,17.19,19,0,0,257.85,1014.95,1
,7,89.75,608.8,25,19.23,52,26.02,0,134.61,717.39,2
,14,85.15,1139.2,27,21.3,42,38.48,0,298.2,1398.92,2
,3,94.6,279.55,70,32.31,27,0,0,96.93,376.48,1
,16,94.25,1483.25,27,20.44,59,0,140,327.04,1950.29,1
,65,72.45,4653.85,24,26.75,51,14.23,0,1738.75,6378.37,1
,42,105.2,4400.75,26,33.46,52,40.15,0,1405.32,5765.92,1
,6,82.85,460.25,34,8.59,28,48.95,0,51.54,462.84,1
,53,103.85,5485.5,74,39.36,23,0,0,2086.08,7571.58,1
,5,83.6,404.2,54,7,23,24.44,0,35,414.76,3
,68,108.45,7176.55,24,21.74,73,9.68,0,1478.32,8645.19,3
,3,91.5,242.95,33,31.61,20,0,10,94.83,347.78,3
,12,80.85,866.45,57,18.26,18,23.72,0,219.12,1061.85,1
,43,49.05,2076.2,64,0,12,20.29,0,0,2055.91,1
,68,105.3,7299.65,70,47.17,29,0,0,3207.56,10507.21,3
,25,88.95,2291.2,71,47.66,23,0,0,1191.5,3482.7,2
,66,110.85,7491.75,66,48.87,13,0,0,3225.42,10717.17,1
,70,114.2,7723.9,21,16.78,48,48.54,0,1174.6,8849.96,1
,27,36.5,1032,68,0,25,0,30,0,1062,1
,1,70.75,70.75,56,26,8,0,0,26,96.75,2
,3,40.15,130.75,19,0,26,0,0,0,130.75,3
,29,94.45,2653.65,73,6.25,21,0,0,181.25,2834.9,1
,36,97.35,3457.9,39,24.51,27,4.96,0,882.36,4335.3,2
,1,45.3,45.3,34,0,18,0,0,0,45.3,1
,2,94.95,178.1,61,26.05,2,0,0,52.1,230.2,1
,12,44.55,480.6,33,5.16,16,18.21,0,61.92,524.31,3
,1,23.45,23.45,55,0,21,0,0,0,23.45,2
,1,29.7,29.7,30,0,69,0,0,0,29.7,1
,59,101.1,6039.9,21,9.23,48,0,0,544.57,6584.47,2
,3,50.65,151.3,51,22.56,3,0,0,67.68,218.98,1
,1,55.4,55.4,37,13.01,4,0,0,13.01,68.41,1
,1,90.6,90.6,77,13.02,30,0,0,13.02,103.62,2
,2,86.85,156.35,73,4.19,11,0,40,8.38,204.73,1
,29,99.05,2952.85,65,22.33,6,0,0,647.57,3600.42,1
,52,111.25,5916.45,20,33.69,52,1.27,0,1751.88,7667.06,1
,2,55.1,113.35,19,5.33,52,0,0,10.66,124.01,1
,13,102.25,1359,36,30.55,28,0,0,397.15,1756.15,1
,19,95.9,1777.9,65,32.77,4,0,0,622.63,2400.53,1
,47,95.05,4504.55,78,14.22,11,0,0,668.34,5172.89,2
,5,53.85,259.8,34,24.32,22,22.96,10,121.6,368.44,1
,52,104.2,5568.35,69,37.6,23,0,0,1955.2,7523.55,1
,42,50.25,2203.65,30,10.79,41,28.49,0,453.18,2628.34,2
,25,99.5,2369.05,35,48.42,8,19.5,0,1210.5,3560.05,3
,9,71,672.55,49,24.52,9,8.35,0,220.68,884.88,3
,16,93.2,1573.7,40,40.76,7,35.7,0,652.16,2190.16,1
,5,19.35,126.05,53,31.76,0,0,0,158.8,284.85,1
,3,19.85,64.55,29,32.01,0,0,0,96.03,160.58,1
,31,104.2,3243.45,51,3.73,13,17.01,0,115.63,3342.07,1
,1,79.25,79.25,49,19.98,5,0,0,19.98,99.23,1
,1,44.9,44.9,30,41.78,59,0,0,41.78,86.68,2
,10,70.1,659.65,42,22.03,19,34.69,0,220.3,845.26,2
,4,29.65,118.5,27,0,48,0,0,0,118.5,3
,43,77.85,3365.85,47,49.13,25,0,0,2112.59,5478.44,1
,4,54.3,195.3,64,40.15,19,0,80,160.6,435.9,2
,11,95.15,997.65,67,3.62,22,0,0,39.82,1037.47,2
,47,110.85,5275.8,42,19.02,17,4.93,0,893.94,6164.81,1
,1,80.5,80.5,24,35.77,69,0,0,35.77,116.27,1
,4,72.2,305.55,20,29.98,71,0,0,119.92,425.47,2
,17,51.5,900.5,36,46.6,2,35.34,0,792.2,1657.36,1
,43,89.55,3856.75,74,39.12,6,0,0,1682.16,5538.91,1
,21,77.5,1625,34,17.57,14,18.39,80,368.97,2055.58,2
,42,95.25,3959.35,37,18.26,29,27.3,0,766.92,4698.97,1
,46,85,3969.4,77,36.78,29,0,0,1691.88,5661.28,1
,5,85.75,470.95,38,1.12,22,44.16,0,5.6,432.39,1
,6,98.25,560.6,79,47.35,29,0,0,284.1,844.7,3
,1,25.7,25.7,68,0,9,0,0,0,25.7,1
,7,69,506.9,25,8.95,73,0,0,62.65,569.55,2
,2,46.05,80.35,27,29.69,52,0,10,59.38,149.73,3
,1,76.4,76.4,76,41.16,6,0,0,41.16,117.56,2
,5,100.5,514,54,28.2,29,0,0,141,655,3
,22,40.05,880.2,80,0,18,0,0,0,880.2,1
,1,69.95,69.95,48,27.58,16,0,0,27.58,97.53,1
,1,93.3,93.3,59,7.99,30,0,0,7.99,101.29,3
,3,49.15,169.05,47,40.79,29,0,10,122.37,301.42,1
,1,35.05,35.05,62,0,22,0,0,0,35.05,1
,1,73,73,72,20.55,5,0,0,20.55,93.55,1
,33,83.85,2716.3,78,38.53,2,0,0,1271.49,3987.79,2
,1,70.1,70.1,43,17.37,25,0,0,17.37,87.47,1
,2,70.65,142.35,67,12.52,25,0,0,25.04,167.39,1
,2,20.35,33.2,62,32.03,0,0,0,64.06,97.26,2
,3,99,287.4,29,33.39,59,0,10,100.17,397.57,1
,26,83.95,2254.2,36,14.3,20,0,0,371.8,2626,1
,67,116.2,7752.3,25,33.88,71,0,0,2269.96,10022.26,2
,71,93.7,6585.35,55,40.52,17,0,0,2876.92,9462.27,3
,1,19.7,19.7,42,1.91,0,0,0,1.91,21.61,2
,5,75.55,413.65,20,35.22,58,0,0,176.1,589.75,2
,9,77.65,714.15,40,22.88,23,0,0,205.92,920.07,2
,26,95,2497.2,74,47.63,26,0,60,1238.38,3795.58,1
,54,105.4,5643.4,31,49.98,26,0,0,2698.92,8342.32,1
,2,95.85,197.7,63,37.43,18,0,0,74.86,272.56,1
,1,79.15,79.15,64,24.48,24,0,0,24.48,103.63,1
,30,19.65,655.85,42,15.36,0,0,0,460.8,1116.65,1
,4,79,303.15,61,27.57,27,0,0,110.28,413.43,3
,17,91.85,1574.45,30,41.95,51,0,0,713.15,2287.6,1
,60,106,6441.4,68,34.39,17,0,110,2063.4,8614.8,3
,1,49.9,49.9,34,39.6,17,0,0,39.6,89.5,2
,13,100.35,1358.85,54,6.78,26,34.09,0,88.14,1412.9,1
,38,74.95,2869.85,66,15.78,30,0,0,599.64,3469.49,1
,1,49.25,49.25,71,8.38,19,0,0,8.38,57.63,3
,50,103.7,5071.05,28,34.14,69,36.61,0,1707,6741.44,1
,65,89.75,5769.6,39,49.33,16,18.72,0,3206.45,8957.33,1
,1,20.3,20.3,44,26.37,0,0,0,26.37,46.67,3
,7,101.95,700.85,65,34.66,3,0,0,242.62,943.47,1
,2,94,181.7,65,20.99,22,0,0,41.98,223.68,1
,45,89.3,4016.85,41,14.12,24,44.63,0,635.4,4607.62,2
,1,74.3,74.3,31,39.66,8,0,0,39.66,113.96,1
,1,44.65,44.65,49,0,19,0,0,0,44.65,1
,13,84.05,1095.3,40,29.92,21,23.97,0,388.96,1460.29,1
,10,80.7,788.8,54,17.07,3,38.42,50,170.7,971.08,1
,4,101.7,364.55,28,26.16,85,1.48,0,104.64,467.71,2
,1,20.4,20.4,31,22.12,0,0,0,22.12,42.52,3
,41,102.6,4213.35,36,45.03,10,2.93,0,1846.23,6056.65,1
,71,106,7723.7,60,47.34,12,0,0,3361.14,11084.84,3
,3,55.1,154.65,43,26.04,16,0,0,78.12,232.77,1
,69,106.5,7348.8,58,26.88,11,0,0,1854.72,9203.52,3
,32,91.05,2954.5,51,46.92,9,0,70,1501.44,4525.94,1
,51,77.5,3807.35,69,17.87,9,0,0,911.37,4718.72,1
,72,54.2,3937.45,51,0,15,0,0,0,3937.45,3
,6,69.25,418.4,50,39.36,5,0,0,236.16,654.56,1
,1,50.5,50.5,35,39.58,28,0,0,39.58,90.08,3
,1,74.4,74.4,68,11.08,12,0,0,11.08,85.48,2
,31,79.45,2587.7,37,6.71,3,0,0,208.01,2795.71,1
,58,104.65,6219.6,34,41.14,25,0,40,2386.12,8645.72,2
,47,100.05,4871.05,68,8.97,19,0,0,421.59,5292.64,1
,44,100.55,4398.15,41,42.92,23,0,0,1888.48,6286.63,2
,2,95.65,167.3,34,16.76,27,0,0,33.52,200.82,3
,1,94.4,94.4,49,18.34,6,0,0,18.34,112.74,3
,1,55,55,47,32.74,26,0,0,32.74,87.74,1
,1,101.45,101.45,32,10.38,7,0,0,10.38,111.83,1
,5,67.95,350.3,39,14.9,4,0,20,74.5,444.8,3
,1,69.5,69.5,41,8.31,27,0,0,8.31,77.81,1
,1,18.85,18.85,53,40.49,0,0,0,40.49,59.34,1
,1,69.2,69.2,44,23.72,19,0,0,23.72,92.92,3
,1,69.65,69.65,30,28.7,69,0,0,28.7,98.35,1
,40,101.85,4086.3,76,2.85,3,0,0,114,4200.3,1
,1,82.3,82.3,64,33.41,28,0,0,33.41,115.71,1
,3,79.25,267.6,33,49.76,3,0,10,149.28,426.88,2
,13,84.6,1115.2,27,35.96,42,0,0,467.48,1582.68,1
,58,93.4,5435.6,37,3.65,20,0,0,211.7,5647.3,1
,42,94.2,4186.3,25,6.84,27,0,0,287.28,4473.58,1
,1,25.05,25.05,74,0,18,0,0,0,25.05,1
,29,25.1,712.85,53,0,22,0,0,0,712.85,1
,1,48.95,48.95,22,34.4,52,0,0,34.4,83.35,1
,1,45.3,45.3,59,28.37,7,0,30,28.37,103.67,2
,2,85.85,167.3,58,14.14,28,0,0,28.28,195.58,1
,10,95.2,930.4,54,35.63,18,0,0,356.3,1286.7,2
,49,100.6,5069.65,42,18.97,3,0,0,929.53,5999.18,2
,6,55.3,324.25,49,1.86,19,0,0,11.16,335.41,2
,2,74.85,156.4,79,45.41,18,0,0,90.82,247.22,2
,35,102.35,3626.1,26,39.84,48,0,0,1394.4,5020.5,3
,70,115.65,7968.85,51,17.17,20,0,10,1201.9,9180.75,2
,2,79.85,152.45,46,16.14,2,0,0,32.28,184.73,2
,15,76,1130.85,29,44.86,52,0,0,672.9,1803.75,1
,42,104.75,4323.45,69,16.22,12,0,0,681.24,5004.69,1
,9,74.65,703.55,31,36.43,16,0,0,327.87,1031.42,1
